Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e crotch, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Stubb’s supper, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e whale as a dish, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: iii, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: LXIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Cutting in, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXIV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e blanket, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e funeral, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXVI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e sphynx, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXVII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e monkey rope, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXVIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Stubb and Flask kill a right whale; and then have over him, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXIX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e sperm whale’s head—contrasted view, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e battering-ram, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e great Heidelburgh tun, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Cistern and buckets, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e prairie, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXIV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e nut, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e Pequod meets the Virgin, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXVI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e honor and glory of whaling, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXVII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Jonah historically regarded, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXVIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e fountain, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LXXIX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e tail, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
